ECO_Code,Name,Moves,Short_Name,Ref_Link
C81,"Ruy Lopez, Open, Howell Attack",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Nxe4 6 d4 b5 7 Bb3 d5 8 dxe5 Be6 9 Qe2,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C82,"Ruy Lopez, Open",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Nxe4 6 d4 b5 7 Bb3 d5 8 dxe5 Be6 9 c3,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C83,"Ruy Lopez, Open",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Nxe4 6 d4 b5 7 Bb3 d5 8 dxe5 Be6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C84,"Ruy Lopez, Closed",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C85,"Ruy Lopez, Exchange Variation Doubly Deferred (DERLD)",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Bxc6 dxc6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C86,"Ruy Lopez, Worrall Attack",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Qe2,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C87,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 d6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C88,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C89,"Ruy Lopez, Marshall",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d5,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C90,"Ruy Lopez, Closed",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Be7 6 Re1 b5 7 Bb3 O-O 8 c3 d6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
